년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
21-Apr,서귀포시,남원읍,건강보조식품 소매업,남성,1,154400,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,건강보조식품 소매업,법인,4,1582000,,,,2021-07-26
21-Apr,서귀포시,남원읍,건강보조식품 소매업,여성,3,1352200,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,골프장 운영업,남성,2709,346127640,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,골프장 운영업,법인,1733,352463500,,,,2021-07-26
21-Apr,서귀포시,남원읍,골프장 운영업,여성,954,124275180,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,과실 및 채소 소매업,남성,429,36537800,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,과실 및 채소 소매업,법인,90,29696750,,,,2021-07-26
21-Apr,서귀포시,남원읍,기타 주점업,남성,83,20015000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,과실 및 채소 소매업,여성,393,24056150,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,남성,9,173000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,여성,28,559000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,그외 기타 종합 소매업,남성,3,1520000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,그외 기타 종합 소매업,법인,2,400000,,,,2021-07-26
21-Apr,서귀포시,남원읍,기타 주점업,여성,6,2590000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,그외 기타 종합 소매업,여성,8,3510000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,기타 외국식 음식점업,남성,22,524000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,기타 외국식 음식점업,법인,16,308000,,,,2021-07-26
21-Apr,서귀포시,남원읍,빵 및 과자류 소매업,법인,147,4853180,,,,2021-07-26
21-Apr,서귀포시,남원읍,기타 외국식 음식점업,여성,4,48000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,기타음식료품위주종합소매업,법인,1044,83218330,,,,2021-07-26
21-Apr,서귀포시,남원읍,기타 주점업,법인,12,1890000,,,,2021-07-26
21-Apr,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,법인,50,4163000,,,,2021-07-26
21-Apr,서귀포시,남원읍,기타음식료품위주종합소매업,남성,4325,160365455,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,서양식 음식점업,남성,1624,38153370,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,서양식 음식점업,법인,376,10799020,,,,2021-07-26
21-Apr,서귀포시,남원읍,서양식 음식점업,여성,1804,38686000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,법인,1,6000,,,,2021-07-26
21-Apr,서귀포시,남원읍,수산물 소매업,남성,122,21475000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,수산물 소매업,법인,44,32528000,,,,2021-07-26
21-Apr,서귀포시,남원읍,비알콜 음료점업,남성,946,9514400,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,수산물 소매업,여성,124,16708000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,슈퍼마켓,법인,558,27756980,,,,2021-07-26
21-Apr,서귀포시,남원읍,슈퍼마켓,여성,1610,35860410,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,남성,164,6605000,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,빵 및 과자류 소매업,여성,652,8404300,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,여성,59,4667000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,여관업,남성,261,14754252,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,여관업,법인,260,155722128,,,,2021-07-26
21-Apr,서귀포시,남원읍,여관업,여성,234,14101122,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,욕탕업,남성,39,327500,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,욕탕업,법인,3,18000,,,,2021-07-26
